,Label,year,content_length,aver_word_length
92,1,2023,3235,6.513953488
93,1,2023,1533,6.737373737
94,1,2023,3284,5.337837838
95,1,2023,1040,7.007692308
96,1,2023,2969,5.537777778
97,1,2023,1921,6.995833333
98,1,2023,8379,5.82803586
99,1,2023,2435,6.726984127
100,1,2023,3452,6.965357968
101,1,2023,2742,6.834285714
102,1,2023,3399,6.791284404
103,1,2023,4637,6.857385399
104,1,2023,3329,6.376940133
105,1,2023,2799,6.796657382
106,1,2023,469,6.8
107,1,2023,1745,6.457264957
108,1,2023,1329,6.514124294
109,1,2023,2147,6.640569395
110,1,2023,965,6.598425197
111,1,2023,1517,5.68722467
112,1,2023,535,6.657142857
113,1,2023,1033,6.385714286
114,1,2023,639,7.311688312
115,1,2023,1132,6.793103448
116,1,2023,2093,7.1640625
117,1,2023,2873,6.777777778
118,1,2023,921,7.078947368
119,1,2023,3818,6.722672065
120,1,2023,2617,6.348441926
121,1,2023,1637,6.90821256
122,1,2023,3013,8.069277108
123,1,2023,4991,7.040322581
124,1,2023,5303,6.714285714
125,1,2023,2973,6.343209877
126,1,2023,2651,6.725947522
127,1,2023,2293,6.508196721
128,1,2023,2572,6.723723724
129,1,2023,2687,6.587570621
130,1,2023,728,6.363636364
131,1,2023,5001,6.715170279
132,1,2023,583,6.773333333
133,1,2023,2192,6.677192982
134,1,2023,476,5.913043478
135,1,2023,5038,6.893416928
136,1,2023,1673,6.621004566
137,1,2023,4714,6.57073955
138,1,2023,915,6.896551724
139,1,2023,3036,6.310843373
140,1,2023,576,7
141,1,2023,3118,7.018041237
142,1,2023,971,6.637795276
143,1,2023,1061,6.808823529
144,1,2023,1490,6.920212766
145,1,2023,2104,6.6996337
146,1,2023,1847,7.282511211
147,1,2023,2238,7.054151625
148,1,2023,1822,7.400921659
149,1,2023,2102,6.503571429
150,1,2023,3009,7.151761518
151,1,2023,3329,7.417721519
152,1,2023,4136,7.0703125
153,1,2023,1615,6.074561404
154,1,2023,1822,6.591666667
155,1,2023,4126,7.098231827
156,1,2023,4202,6.77962963
157,1,2023,3978,6.806387226
158,1,2023,1423,6.818681319
159,1,2023,2626,6.876876877
160,1,2023,4732,6.333333333
161,1,2023,8482,7.277833501
162,1,2023,6343,6.275862069
163,1,2023,1315,6.833333333
164,1,2023,7221,6.849673203
165,1,2023,1878,7.417040359
166,1,2023,3889,7.142557652
167,1,2023,2061,6.498181818
168,1,2023,706,6.431578947
169,1,2023,1984,6.483018868
170,1,2023,1353,6.347826087
171,1,2023,3726,6.942430704
172,1,2023,1515,8.126506024
173,1,2023,1002,7.016
174,1,2023,1353,7.107784431
175,1,2023,3908,6.993852459
176,1,2023,4540,6.744027304
177,1,2023,1102,6.425675676
178,1,2023,2524,7.015923567
179,1,2023,3676,7.244394619
180,1,2023,3712,7.069716776
181,1,2023,1934,7.194915254
182,1,2023,1227,7.072368421
183,1,2023,1044,6.605839416
184,1,2023,2977,6.630769231
185,1,2023,728,7.011363636
186,1,2023,1925,7.410480349
187,1,2023,3283,7.09382716
188,1,2023,2939,7.076923077
189,1,2023,1592,7.497326203
190,1,2023,1629,7.430051813
191,1,2023,1684,6.457777778
192,1,2023,933,6.982905983
